seq,name/first,name/last,age,street,city,state,zip,dollar,pick,date
1,Sallie,Elliott,26,Tias Turnpike,Hewpipga,ME,04857,$5729.44,YELLOW,01/06/1910
2,Emilie,Chandler,27,Femwu Place,Memamup,GA,41325,$1441.88,YELLOW,12/12/2039
3,Mabel,Todd,24,Mobos Square,Osupavzug,NJ,95426,$3434.63,GREEN,09/17/1969
4,William,Porter,18,Odekek Path,Inujenbi,OH,52510,$5590.61,YELLOW,04/27/1993
5,Thomas,Hill,38,Kavri Extension,Lutpoan,MO,29713,$6075.06,WHITE,01/22/2059
6,Laura,Santiago,38,Ufba Turnpike,Nornifu,IL,94624,$9108.73,WHITE,11/15/2067
7,Chester,Mills,47,Gotic Way,Weikavi,IA,48196,$7946.60,GREEN,09/23/2010
8,Nathaniel,Joseph,28,Lagu Avenue,Gewovti,VT,12442,$7396.43,BLUE,04/13/1978
9,Oscar,Beck,26,Ijew Trail,Zarbimo,KS,40655,$1592.74,WHITE,10/15/1917
10,Eula,Meyer,45,Sitog View,Ilucufne,TX,66810,$3766.49,RED,02/26/1959
11,Chester,Elliott,20,Tijiw Pass,Igopunsu,IN,31534,$4554.96,YELLOW,05/08/1974
12,Max,James,49,Fabo Junction,Mecomdit,ID,46839,$7852.82,GREEN,02/08/1901
13,Milton,Armstrong,46,Puje Avenue,Udsusbas,MN,94733,$1881.92,BLUE,03/30/1974
14,Janie,Jenkins,29,Ipocu Pass,Relabu,NH,65873,$4955.41,WHITE,04/02/1925
15,Phoebe,Leonard,46,Ipuez Boulevard,Pezirco,OK,67497,$424.68,RED,04/12/2002
16,Katherine,Washington,57,Hafip Turnpike,Folbuja,LA,62946,$656.18,RED,05/09/2036
17,Francis,Ray,39,Aroder Circle,Cojzocnem,LA,32163,$380.88,GREEN,01/18/2037
18,Carrie,Clayton,30,Aligot Trail,Gatebnap,NM,42997,$9692.05,WHITE,09/26/1997
19,Jeff,Drake,46,Zieli Trail,Meibarib,AR,54125,$9561.95,WHITE,02/20/2062
20,Connor,Martin,21,Afdi Junction,Buwafu,AK,60968,$1462.93,BLUE,10/26/2045
21,Elizabeth,Lawson,37,Gizes Trail,Ciapeker,HI,96655,$2967.98,GREEN,07/05/2012
22,Barry,Dawson,51,Pavuhi Path,Kufuphok,ND,21974,$8622.36,GREEN,12/16/1992
23,Teresa,Hayes,61,Wojre Terrace,Ehcava,AZ,42846,$6429.61,RED,08/18/2006
